Date,Close
3-Jan-00,5375.11
4-Jan-00,5491.01
5-Jan-00,5357
6-Jan-00,5421.53
7-Jan-00,5414.48
10-Jan-00,5518.39
11-Jan-00,5296.3
12-Jan-00,5491.2
13-Jan-00,5444.82
14-Jan-00,5471.27
17-Jan-00,5404.07
18-Jan-00,5464.51
19-Jan-00,5478.24
20-Jan-00,5355.8
21-Jan-00,5423.05
24-Jan-00,5458.06
25-Jan-00,5367.79
27-Jan-00,5369.1
28-Jan-00,5335.8
31-Jan-00,5205.29
1-Feb-00,5215.54
2-Feb-00,5304.92
3-Feb-00,5340.19
4-Feb-00,5313.59
7-Feb-00,5474
8-Feb-00,5610.56
9-Feb-00,5649.1
10-Feb-00,5789.04
11-Feb-00,5933.56
14-Feb-00,5924.31
15-Feb-00,5803.19
16-Feb-00,5725.5
17-Feb-00,5835.15
18-Feb-00,5721.65
21-Feb-00,5876.89
22-Feb-00,5883.33
23-Feb-00,5642.46
24-Feb-00,5810.17
25-Feb-00,5623.08
28-Feb-00,5740.69
29-Feb-00,5446.98
1-Mar-00,5642.12
2-Mar-00,5528.31
3-Mar-00,5378.27
6-Mar-00,5520.69
7-Mar-00,5589.85
8-Mar-00,5511.42
9-Mar-00,5328.79
10-Mar-00,5301.78
13-Mar-00,5129.22
14-Mar-00,5175.71
15-Mar-00,5249.76
16-Mar-00,5102.41
21-Mar-00,5133.24
22-Mar-00,5201.87
23-Mar-00,5115.02
24-Mar-00,5141.42
27-Mar-00,5146.3
28-Mar-00,5156.12
29-Mar-00,5102.46
30-Mar-00,5041.08
31-Mar-00,5001.28
3-Apr-00,5052.94
4-Apr-00,4691.46
5-Apr-00,4757.06
6-Apr-00,4866.73
7-Apr-00,5219.2
10-Apr-00,5442.86
11-Apr-00,5541.54
12-Apr-00,5426.82
13-Apr-00,5172.13
17-Apr-00,4880.71
18-Apr-00,4745.47
19-Apr-00,4665.81
20-Apr-00,4657.42
24-Apr-00,4511.05
25-Apr-00,4533.99
26-Apr-00,4792.95
27-Apr-00,4679.63
28-Apr-00,4657.55
2-May-00,4372.22
3-May-00,4335.29
4-May-00,4553.92
5-May-00,4693.88
8-May-00,4463.4
9-May-00,4578.49
10-May-00,4458.4
11-May-00,4251.36
12-May-00,4107.14
15-May-00,4212.53
16-May-00,4230.13
17-May-00,4234.23
18-May-00,4192.44
19-May-00,4068.65
22-May-00,3920.18
23-May-00,3943.54
24-May-00,3933.65
25-May-00,3999.03
26-May-00,4084.71
29-May-00,4189.85
30-May-00,4311.77
31-May-00,4433.61
1-Jun-00,4325.47
2-Jun-00,4453.47
5-Jun-00,4531.53
6-Jun-00,4591.68
7-Jun-00,4604.84
8-Jun-00,4728.81
9-Jun-00,4729.63
12-Jun-00,4639.46
13-Jun-00,4615.13
14-Jun-00,4625.04
15-Jun-00,4653.22
16-Jun-00,4764.67
19-Jun-00,4837.24
20-Jun-00,4863.9
21-Jun-00,4731.57
22-Jun-00,4794.16
23-Jun-00,4721.7
26-Jun-00,4670.09
27-Jun-00,4686.91
28-Jun-00,4748.8
29-Jun-00,4792.74
30-Jun-00,4748.77
3-Jul-00,4844.98
4-Jul-00,4887.06
5-Jul-00,4912.11
6-Jul-00,4885.6
7-Jul-00,4905.94
10-Jul-00,4867.43
11-Jul-00,4898.07
12-Jul-00,4964.28
13-Jul-00,4880.8
14-Jul-00,4856.82
17-Jul-00,4747.32
18-Jul-00,4734.8
19-Jul-00,4616.01
20-Jul-00,4575.67
21-Jul-00,4463.66
24-Jul-00,4188.34
25-Jul-00,4336.2
26-Jul-00,4191.27
27-Jul-00,4281.13
28-Jul-00,4276.7
31-Jul-00,4279.86
1-Aug-00,4253.69
2-Aug-00,4260.88
3-Aug-00,4207.63
4-Aug-00,4186.16
7-Aug-00,4201.25
8-Aug-00,4317.22
9-Aug-00,4317.04
10-Aug-00,4253.23
11-Aug-00,4192
14-Aug-00,4232.51
16-Aug-00,4325.67
17-Aug-00,4294.18
18-Aug-00,4347.04
21-Aug-00,4409.57
22-Aug-00,4461.23
23-Aug-00,4444.79
24-Aug-00,4459.07
25-Aug-00,4416.86
28-Aug-00,4395.81
29-Aug-00,4401.82
30-Aug-00,4411.85
31-Aug-00,4477.31
4-Sep-00,4602.43
5-Sep-00,4598.65
6-Sep-00,4606.35
7-Sep-00,4628.93
8-Sep-00,4668.27
11-Sep-00,4696.6
12-Sep-00,4763.63
13-Sep-00,4702.52
14-Sep-00,4671.92
15-Sep-00,4562.38
18-Sep-00,4366.41
19-Sep-00,4264.34
20-Sep-00,4325.25
21-Sep-00,4257.2
22-Sep-00,4032.37
25-Sep-00,4173.48
26-Sep-00,4089.58
27-Sep-00,4164.1
28-Sep-00,4067.38
29-Sep-00,4090.38
3-Oct-00,4135.55
4-Oct-00,4160.41
5-Oct-00,4116.25
6-Oct-00,4092.42
9-Oct-00,4056.07
10-Oct-00,3945.28
11-Oct-00,3836.51
12-Oct-00,3847.58
13-Oct-00,3738.93
16-Oct-00,3728.67
17-Oct-00,3664.79
18-Oct-00,3593.63
19-Oct-00,3702.83
20-Oct-00,3692.75
23-Oct-00,3619.53
24-Oct-00,3651.99
25-Oct-00,3743.61
26-Oct-00,3757.16
27-Oct-00,3729.12
30-Oct-00,3689.43
31-Oct-00,3711.02
1-Nov-00,3788.53
2-Nov-00,3875.79
3-Nov-00,3935.7
6-Nov-00,3931.54
7-Nov-00,3954.83
8-Nov-00,4028.71
9-Nov-00,4022.5
10-Nov-00,3941.13
13-Nov-00,3820.08
14-Nov-00,3943.54
15-Nov-00,3946.53
16-Nov-00,3901.9
17-Nov-00,3905.84
20-Nov-00,3926.52
21-Nov-00,3924.7
22-Nov-00,3862.39
23-Nov-00,3852.4
24-Nov-00,3868.34
27-Nov-00,3969.2
28-Nov-00,4023.92
29-Nov-00,3996.18
30-Nov-00,3997.99
1-Dec-00,4031.96
4-Dec-00,4036.49
5-Dec-00,4071.98
6-Dec-00,4108.43
7-Dec-00,4124.91
8-Dec-00,4156.08
11-Dec-00,4228.29
12-Dec-00,4219.48
13-Dec-00,4284.98
14-Dec-00,4270.45
15-Dec-00,4137.16
18-Dec-00,4169.39
19-Dec-00,4152.94
20-Dec-00,4086.41
21-Dec-00,4034.23
22-Dec-00,3905.9
26-Dec-00,3826.82
27-Dec-00,3877.55
28-Dec-00,3932.78
29-Dec-00,3972.12
1-Jan-01,3955.08
2-Jan-01,4018.88
3-Jan-01,4060.02
4-Jan-01,4115.37
5-Jan-01,4183.73
8-Jan-01,4120.43
9-Jan-01,4125.31
10-Jan-01,4047.64
11-Jan-01,4027.13
12-Jan-01,4036.58
15-Jan-01,4046.76
16-Jan-01,4070.73
17-Jan-01,4083.41
18-Jan-01,4113.21
19-Jan-01,4194.46
22-Jan-01,4267.11
23-Jan-01,4296.69
24-Jan-01,4326.42
25-Jan-01,4330.22
29-Jan-01,4234.57
30-Jan-01,4372.04
31-Jan-01,4326.72
1-Feb-01,4286.11
2-Feb-01,4352.26
5-Feb-01,4370.47
6-Feb-01,4375.29
7-Feb-01,4312.93
8-Feb-01,4381.19
9-Feb-01,4397.33
12-Feb-01,4406.3
13-Feb-01,4363.05
14-Feb-01,4363.11
15-Feb-01,4437.99
16-Feb-01,4330.32
19-Feb-01,4350.65
20-Feb-01,4359.22
21-Feb-01,4302.23
22-Feb-01,4262.55
